Pokemon Name, Level, Acquired?, Move 1, Move 2, Move 3, Move 4, Held Item?
Espeon, Lv.32, Yes, Tackle, Tail Whip, Helping Hand, Sand-Attack, None
Glaceon, Lv.20, Yes, Tackle, Tail Whip, Helping Hand, Sand-Attack, None
Sylveon, Lv.100, Yes, Disarming Voice, Moonblast, Tackle, Helping Hand, None
Umbreon, Lv.23, Yes, Tackle, Tail Whip, Helping Hand, Sand-Attack, None
Eevee, Lv.19, Yes, Tackle, Tail Whip, Helping Hand, Sand-Attack, None
Leafeon, Lv.23, Yes, Tackle, Tail Whip, Helping Hand, Sand-Attack, None
Vaporeon, ???, No, ???, ???, ???, ???, ???
Flareon, ???, No, ???, ???, ???, ???, ???
Jolteon, ???, No, ???, ???, ???, ???, ???
